Nome: CANGUCU
Codigo Estacao: A811
Latitude: -31.40333333
Longitude: -52.70083333
Altitude: 446.81
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;17;158;959,9;21,5;11,4;5,1;
2010-02-28;13;108,8;960,1;22,4;14;5;
2010-03-31;16;105,8;961,3;20,4;12,2;4,8;
2010-04-30;16;121,6;964,8;17,2;11,2;4,8;
2010-05-31;22;151,4;965,2;14,3;11;5;
2010-06-30;16;105;966,3;12;11,9;5,5;
2010-07-31;13;176,2;965,6;12,2;13;5,7;
2010-08-31;9;null;967;12,1;17,7;5,5;
2010-09-30;16;29,8;963,2;13,9;15,4;5,4;
2010-10-31;4;6;963;14,7;12,2;4,7;
2010-11-30;12;41,8;960;16,9;9,7;4,9;
2010-12-31;13;168,6;958,3;20,6;13,5;5,4;
2011-01-31;18;173,8;958,6;22,2;10;4,8;
2011-02-28;19;180,6;960,9;21;9,2;4,9;
2011-03-31;14;64,6;962,9;19,4;9,6;5,1;
2011-04-30;13;131,2;962,8;17,4;11,4;4,4;
2011-05-31;8;3,4;965,8;13,5;11,8;4,8;
2011-06-30;10;11,2;963,5;11,4;11,7;5;
2011-07-31;10;null;964,8;11,1;11,4;5,3;
2011-08-31;9;null;963,5;11,7;13,2;6,1;
2011-09-30;4;6,4;966,3;13,2;12;5,6;
2011-10-31;11;114,2;961,3;15,4;11,5;4,9;
2011-11-30;4;116,4;962,1;18,2;12,7;5,3;
2011-12-31;8;31,8;959,9;18,4;10,1;4,9;
2012-01-31;6;56,6;960,8;20,8;9,6;5,3;
2012-02-29;14;135,2;959,5;22,5;15,2;4,9;
2012-03-31;7;11,4;962,2;20,3;8,2;4,3;
2012-04-30;null;null;962,8;16,2;14,5;4,1;
2012-05-31;2;8;965,9;16,3;9,9;4,4;
2012-06-30;4;105,8;964,3;12;15,2;4,6;
2012-07-31;13;122,8;965,4;9,2;13;5,1;
2012-08-31;16;138,4;966,9;16;11,9;5,5;
2012-09-30;17;163,4;964,6;14,2;16;5,8;
2012-10-31;15;131,8;960,4;17,1;16,3;5,4;
2012-11-30;12;39,2;961,4;19,7;11,1;5,1;
2012-12-31;14;159,4;957,8;22,1;14;5;
2013-01-31;10;93,2;962;20,3;11;4,8;
2013-02-28;12;110;960,6;20,8;11,7;4,8;
2013-03-31;15;57,8;962,8;18;12,9;4,8;
2013-04-30;12;104;963,6;17,2;11,5;4,5;
2013-05-31;21;134;963,3;13,6;16,1;4,5;
2013-06-30;16;71,6;964,2;11,7;10,9;4,6;
2013-07-31;10;26,2;966,3;11,3;11,5;4,9;
2013-08-31;15;130,4;966,1;10,4;12,6;5,5;
2013-09-30;15;133,4;963,9;14,4;10,9;5,3;
2013-10-31;16;232;963,4;15,5;10,2;4,9;
2013-11-30;12;185,6;960,6;18,5;12,2;5,2;
2013-12-31;9;106,4;958,9;21,9;11,6;4,9;
2014-01-31;14;289,4;960,5;22,7;11;5,1;
2014-02-28;16;266,2;961,4;22;12,5;5,3;
2014-03-31;14;154,2;961,8;19,1;9,7;4,4;
2014-04-30;14;106,4;964,5;17,2;10,8;4,8;
2014-05-31;17;74,8;964,3;13,5;11,3;3,7;
2014-06-30;19;214,6;964,5;12,1;14,1;5,1;
2014-07-31;14;203,6;966,9;12,4;11,6;5;
2014-08-31;14;84;964,9;13,2;11,7;5;
2014-09-30;17;181,4;962,6;14,5;11,3;5,4;
2014-10-31;15;189,6;963,4;17,5;13,4;5,1;
2014-11-30;null;null;961,1;19,5;10,4;4,8;
2014-12-31;14;157,4;960;20,5;8,9;4,5;
2015-01-31;15;168,4;961,4;21,8;11,2;4,6;
2015-02-28;15;91,2;961,6;21,2;8,9;4,4;
2015-03-31;12;37,2;962,9;20,3;8,7;4,4;
2015-04-30;10;57,2;964,6;18;10,9;4,4;
2015-05-31;15;179,8;965,7;15,1;13,7;4,4;
2015-06-30;15;219;965,8;12,6;12,8;5;
2015-07-31;18;161,4;965,1;12,2;10,6;4,6;
2015-08-31;11;104,6;962,9;16,4;11,8;5,3;
2015-09-30;19;209,8;961,9;13,2;13,6;5;
2015-10-31;20;294,6;962,9;14,4;14,6;5,6;
2015-11-30;20;143,6;960,8;16,9;9,9;4,9;
2015-12-31;17;174,8;959,8;20,1;11,1;4,6;
2016-01-31;15;106,2;960,8;21,8;9,9;4,6;
2016-02-29;11;62,6;960,8;22,6;8,1;4,2;
